Artist,Album,Weight,Tags,Published
My Autumn,Inexpressible Words (EP),263837310.73906818,,
Here Comes the Kraken,"Hate, Greed and Death",258221136.51411882,,
Suicide Silence,Demo,217295232.000544,,
Suicide Silence,Suicide Silence EP,211256025.74937856,,
Chelsea Grin,Self Inflicted (Deluxe Edition),209389814.20046112,,
Dr. Acula,Slobology,209109718.00480127,,
Bleed from Within,Welcome To The Plague Year,208684327.77179763,,
As Blood Runs Black,Ground Zero,205878521.5694776,,
Black Tongue,The Unconquerable Dark,204667829.83074751,,
Oceano,Ascendants,195610778.02274665,,
Winds of Plague,Against The World (Disc 1),194555420.39355993,,
Dr. Acula,Below Me!,193939230.28785986,,
Black Tongue,Born Hanged,181136732.28120515,,
Annotations of an Autopsy,Welcome To Sludge City,179103716.86858147,,
Annotations of an Autopsy,The Reign Of Darkness,177397072.08590838,,
Lorna Shore,Psalms,174705317.0952698,,
Chelsea Grin,Desolation Of Eden,166512886.59793815,,
Arsonists Get All The Girls,Hits From the Bow [Re-release],165672800.06493506,,
Thy Art Is Murder,Infinite Death - EP,161633526.2840493,,
Thy Art Is Murder,Infinite Death (EP),159952019.61961964,,
Make Them Suffer,Lord Of Woe,151060589.76095617,,
All Shall Perish,Hate. Malice. Revenge.,149971207.86516854,,
Job for a Cowboy,Sun Eater,149896024.43418223,,
Molotov Solution,Self Titled,146957465.55676857,,
We Butter the Bread With Butter,Demo,146054892.56335688,,
Slaughter To Prevail,Chapters Of Misery,141880028.4171552,,
Fit For An Autopsy,The Great Collapse (Rain City Deluxe Version),135914367.695762,,
Attila,Сhaos,135310581.8181818,,
Bring Me the Horizon,Suicide Season (Deluxe),135151204.69698584,,
The Contortionist,Shapeshifter,132610187.90436006,,
The Red Shore,The Avarice of Man,127391353.57658325,,
Lorna Shore,Maleficium,123758957.11490573,,
Suicide Silence,You Can't Stop Me (Special Edition),122727863.89413989,,
Waking the Cadaver,Real-Life Death,120021418.38019304,,
Humanity's Last Breath,Detestor,120003779.44271013,,
Dr. Acula,Nation,115304630.9692657,,
Dr. Acula,Chillogy,115130241.44376409,,
Born of Osiris,Rosecrance,113370567.52,,
Despised Icon,Consumed By Your Poison (Reissue),109115602.26864906,,
Despised Icon,Consumed By Your Poison (Remastered),103508251.04551046,,
Whitechapel,Demo 2006,96300553.887762,,
Slaughter To Prevail,Chapters Of Misery (EP),89580818.09120074,,
Bring Me the Horizon,This What the Edge of Your Seat Was Made For,89078316.29218434,,
Humanity's Last Breath,Structures Collapse,87433535.75148809,,
Black Tongue,Falsifier [EP],87204873.77326566,,
Rose Funeral,Crucify. Kill. Rot,84900418.57813548,,
Suicide Silence,Demo 2003,80002799.45879078,,
Job for a Cowboy,Demo,79939516.25666025,,
I Declare War,Songs For The Sick,79826236.62624823,,
Shadow Of Intent,The Instrumentals,75942996.84109326,,
Bring Me the Horizon,It Never Ends,75131878.46533127,,
Whitechapel,Recorrupted,73739256.61246613,,
Molotov Solution,the path to extinction,72652954.39898624,,
Carnifex,World War X,71784877.12428069,,
Bring Me the Horizon,Shadow Moses,69931005.69146192,,
Chelsea Grin,Chelsea Grin Self-titled EP,69318453.77012143,,
All Shall Perish,The Price Of Existence (Korean Retail),63174715.92797784,,
The Red Chord,Clients (Deluxe Edition),59767531.37254901,,
The Red Shore,Salvaging What's Left,58734304.18416407,,
Chelsea Grin,Evolve [EP],56575257.65472313,,
Suicide Silence,Suicide Silence (EP),56483677.917460315,,
Chelsea Grin,Chelsea Grin [EP],55206350.72992701,,
I Declare War,BRING THE SEASON,53638725.59055118,,
Slaughter To Prevail,Chapters of Misery - EP,52514659.93930197,,
Killwhitneydead,Suffer My Wrath,51591834.21686747,,
Carnifex,EP,49391242.74077623,,
Carnifex,Carnifex,48241192.598343685,,
Dead Silence Hides My Cries,Upcoming Album,47504443.58264081,,
Impending Doom,The Sin And Doom Of Godless Men,43360264.97131931,,
The Browning,Demo,42749462.95025729,,
Here Comes the Kraken,The Omen,40606706.341749854,,
Waking the Cadaver,Waking the Cadaver,37861330.64516129,,
Here Comes the Kraken,"Hate, Greed & Death",37827903.449235044,,
Dead Silence Hides My Cries,Two Symphonies (Deluxe Edition),37595377.27272727,,
Lorna Shore,Triumph,34650498.27586207,,
Here Comes the Kraken,Here Comes the Kraken (Reissue from 2007),34387225.007514276,,
Make Them Suffer,27,33965958.613279045,,
