Artist,Album,Weight,Tags,Published
Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. 1",2185104789.103112,,
After the Burial,In Dreams,2139941968.8915844,,
The Agonist,Only Once Imagined,2128929351.2450504,,
Heaven Shall Burn,Whatever It May Take,2063125502.392656,,
"Oh, Sleeper",When I Am God,2049772942.9024436,,
In This Moment,Black Widow,2020168626.3495584,,
In This Moment,A Star-Crossed Wasteland,2017759166.331367,,
Breakdown of Sanity,Coexistence,2005632496.654213,,
Bullet for My Valentine,The Poison (Deluxe Version),2004640429.6312835,,
Callejon,Blitzkreuz,2003885959.2129524,,
Unearth,Darkness in the Light,1964528075.5000677,,
Killswitch Engage,Killswitch Engage II,1964230381.2611465,,
While She Sleeps,Brainwashed (Deluxe),1945576554.0700555,,
The Agonist,Prisoners,1934790347.267453,,
As I Lay Dying,A Long March: The First Recordings,1919839412.2244623,,
Wage War,Blueprints,1904630367.1944783,,
The Acacia Strain,3750,1858423329.4196892,,
Misery Signals,Absent Light,1832840705.8298666,,
While She Sleeps,Brainwashed,1829632112.668972,,
Bury Tomorrow,Black Flame,1781162767.0850954,,
Bullet for My Valentine,Venom (Deluxe Edition),1774128505.6737626,,
I Killed the Prom Queen,When Goodbye Means Forever,1771756753.4350238,,
Emmure,Look At Yourself,1767571108.3535476,,
Neaera,Armamentarium,1738432823.3084037,,
Demon Hunter,The World Is A Thorn,1696724464.1768503,,
Atreyu,A Deathgrip On Yesterday,1688187404.6324112,,
Bury Tomorrow,Earthbound,1669455984.0035021,,
Stigmata,Основано На Реальных Событиях,1661322549.4980607,,
Heaven Shall Burn,Invictus,1641227003.4498844,,
Wage War,Pressure,1628501895.8587582,,
Parkway Drive,Ire (Deluxe Edition),1611490672.054579,,
Trivium,Vengeance Falls (Special Edition),1611104385.25797,,
Amatory,VII,1599234078.608114,,
From Autumn To Ashes,Too Bad You're Beautiful,1548931304.4089165,,
Darkest Hour,Darkest Hour,1543727103.5566669,,
Caliban,Shadow Hearts,1527259840.4676476,,
Killswitch Engage,Killswitch Engage (Special Edition),1522553109.7036257,,
Demon Hunter,True Defiance,1514353306.957809,,
Killswitch Engage,Disarm the Descent (Special Edition),1505874386.4220457,,
Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Volume 2",1489556769.9843757,,
After the Burial,Wolves Within,1475471101.2603445,,
Demon Hunter,Demon Hunter,1473974023.932927,,
The Devil Wears Prada,With Roots Above And Branches,1467593717.0343852,,
Chimaira,The Infection,1467520270.713097,,
For the Fallen Dreams,Heavy Hearts,1449981742.3475342,,
All That Remains,Behind Silence & Solitude,1437783406.0663478,,
All That Remains,Behind Silence and Solitude,1437760348.0960531,,
Avenged Sevenfold,Waking The Fallen: Resurrected,1434720446.0476003,,
Protest the Hero,Volition,1425532597.9376686,,
Unearth,III: In The Eyes Of Fire,1425435979.6013317,,
Parkway Drive,Horizons (Deluxe Edition),1411929724.4336567,,
Callejon,Wir sind Angst,1398268482.5534217,,
Protest the Hero,Scurrilous,1391372966.2772388,,
Motionless in White,Reincarnate,1358316922.3593802,,
Caliban,Gravity,1349393860.1733232,,
Northlane,Mesmer,1316920527.9236224,,
Architects,Nightmares,1311207784.9873385,,
Demon Hunter,Extremist,1309728591.2423222,,
Killswitch Engage,As Daylight Dies [Special Edition],1285569608.1329818,,
Heaven Shall Burn,Wanderer,1284039782.562216,,
Callejon,Man spricht Deutsch,1265544713.1647274,,
Fit for a King,Deathgrip,1258804033.392874,,
For the Fallen Dreams,Wasted Youth,1246558481.922366,,
Caliban,I Am Nemesis [Special Edition] (CD1),1213058880,,
Shadows Fall,Threads Of Life,1201102770.527374,,
Bleeding Through,"This Is Love, This Is Murderous",1194646298.3211122,,
Amatory,Книга Мертвых,1153751493.9302373,,
Amatory,Книга Мёртвых,1153726717.0744925,,
Stigmata,Больше Чем Любовь,1134560571.4545455,,
As I Lay Dying,Awakened (Limited Edition),1127502122.4735677,,
Motionless in White,Infamous (Deluxe Edition),1118923707.6717217,,
Frontside,Zmierzch Bogow,1109956454.4967713,,
The Devil Wears Prada,Transit Blues,1099917003.902439,,
Bullet for My Valentine,Temper Temper (Deluxe Version),1093699528.4690504,,
Amatory,Неизбежность,1065714304.0791687,,
Shadows Fall,The War Within,1063439083.1640167,,
Killswitch Engage,(Set This) World Ablaze,1062075931.5075855,,
Amatory,Инстинкт Обреченных,1056024347.5172659,,
Darkest Hour,The Human Romance,1053382869.1583675,,
